code,name,unit,price,category,page
184,"REQUEIJÃO PARMATO COM AMIDO 1,8 KG (CX 8 BIS)",BIS,31.34,Laticínios,66
4138,REQUEIJÃO PEQUENO CORONATA COM AMIDO 400 G (CX 36 BIS),BIS,8.12,Laticínios,66
4701,"REQUEIJÃO PIZZALET COM AMIDO 1,8 KG (CX 8 BIS)",BIS,17.07,Laticínios,66
1162,"REQUEIJÃO QUATÁ SEM AMIDO 1,5 KG (CX 12 BIS)",BIS,41.12,Laticínios,66
9080,"REQUEIJÃO REI QUEIJONE COM AMIDO 1,01 KG (CX 6 BIS)",BIS,16.56,Laticínios,66
3766,"REQUEIJÃO REKEMINAS COM AMIDO 1,8 KG (CX 8 BIS)",BIS,11.75,Laticínios,66
8264,"REQUEIJÃO ROSELI SEM AMIDO 1,5 KG (CX 10 BIS)",BIS,39.62,Laticínios,66
5019,"REQUEIJÃO SABOR CHEDDAR CATUPIRY 1,010 KG (CX 6 BIS)",BIS,46.4,Laticínios,66
4486,"REQUEIJÃO SABOR CHEDDAR CORONATA 1,5 KG (CX 10 BIS)",BIS,44.93,Laticínios,66
7332,"REQUEIJÃO SABOR CHEDDAR IPANEMA 1,2 KG (CX 6 BIS)",BIS,34.32,Laticínios,66
5554,REQUEIJÃO SABOR CHEDDAR PEQUENO CORONATA 240 G (CX 60 BIS),BIS,9.72,Laticínios,66
5887,"REQUEIJÃO SABOR CHEDDAR POLENGHI 1,5 KG (CX 4 BIS)",BIS,57.85,Laticínios,66
6248,"REQUEIJÃO SABOR CHEDDAR SCALA 1,5 KG (CX 12 BIS)",BIS,55.71,Laticínios,66
7746,"REQUEIJÃO SABOR CHEDDAR SCALON 1,02 KG (CX 15 BIS)",BIS,32.06,Laticínios,66
4134,"REQUEIJÃO SABOR CHEDDAR TIROLEZ 1,5 KG (CX 12 BIS)",BIS,47.02,Laticínios,66
8310,"REQUEIJÃO SABOR CHEDDAR VALEZA 1,003 KG (CX 12 BIS)",BIS,30.87,Laticínios,66
9033,REQUEIJÃO SACHÊ VIGOR 18 G (CX 144 UN),CX,154.46,Laticínios,66
6166,"REQUEIJÃO SCALA SEM AMIDO 1,5 KG (CX 12 BIS)",BIS,45.63,Laticínios,66
6279,"REQUEIJÃO SCALA SEM AMIDO 3,6 KG (CX 2 BD)",BD,116.5,Laticínios,66
4721,"REQUEIJÃO SCALON SEM AMIDO 1,5 KG (CX 12 BIS)",BIS,43.5,Laticínios,66
2899,"REQUEIJÃO TIROLEZ SEM AMIDO 1,5 KG (CX 12 BIS)",BIS,43.94,Laticínios,66
2898,"REQUEIJÃO TIROLEZ SEM AMIDO 3,6 KG (CX 4 BD)",BD,110.13,Laticínios,66
83,"REQUEIJÃO TOP MILK COM AMIDO 1,8 KG (CX 8 BIS)",BIS,13.71,Laticínios,66
3119,"REQUEIJÃO TRADICIONAL CORONATA SEM AMIDO 1,5 KG (CX 12 BIS)",BIS,43.15,Laticínios,67
7102,"REQUEIJÃO TRADICIONAL DALLORA SEM AMIDO 1,5 KG (CX 10 BIS)",BIS,41.12,Laticínios,67
3576,"REQUEIJÃO TRADICIONAL SOFFICE SEM AMIDO 1,5 KG (CX 10 BIS)",BIS,42.31,Laticínios,67
8560,"REQUEIJÃO TRÊS MARIAS SEM AMIDO 1,5 KG (CX 10 BIS)",BIS,38.14,Laticínios,67
6767,"REQUEIJÃO VALE DO PARDO COM AMIDO 1,8 KG (CX 8 BIS)",BIS,11.8,Laticínios,67
8312,"REQUEIJÃO VALEZA SEM AMIDO 1,003 KG (CX 12 BIS)",BIS,27.29,Laticínios,67
